Mass,Radius,Density,Temperature,Pressure,Luminosity,Energy Rate,Opacity,del_ad,del_actual,Shell Nature
1.988999999999995e+23,8944531.622059477,88.25207297233996,17110894.74997482,2.0424332539361878e+17,1.445977756296627e+25,54.66057143991194,1.0192206525009915,0.4,0.4,Convective
2.0345456437607466e+23,8995572.832778629,88.25207277772235,17110894.724792317,2.0424332464214445e+17,1.4708732652385732e+25,54.66057054558648,1.0192206542560227,0.4,0.4,Convective
2.0811342265187567e+23,9047190.431343578,88.25207257868493,17110894.699037906,2.0424332387360397e+17,1.4963388501701377e+25,54.660569630950796,1.0192206560509134,0.4,0.4,Convective
2.1287896302891593e+23,9099387.591771256,88.25207237515264,17110894.672701884,2.0424332308770742e+17,1.5223875651081007e+25,54.66056869565979,1.019220657886339,0.4,0.4,Convective
2.1775362839556733e+23,9152167.520436604,88.2520721670496,17110894.645774428,2.0424332228416195e+17,1.549032762989227e+25,54.660567739364794,1.0192206597629807,0.4,0.4,Convective
2.2273991757933587e+23,9205533.491607036,88.25207195429934,17110894.618245646,2.042433214626722e+17,1.5762881025152077e+25,54.660566761714506,1.0192206616815325,0.4,0.4,Convective
2.2784038662778615e+23,9259488.805937588,88.25207173682453,17110894.59010553,2.042433206229396e+17,1.6041675551542009e+25,54.66056576235369,1.0192206636426882,0.4,0.4,Convective
2.3305765011881546e+23,9314036.735886548,88.25207151454687,17110894.561343953,2.0424331976466182e+17,1.6326854123027942e+25,54.66056474092219,1.0192206656471563,0.4,0.4,Convective
2.3839438250093182e+23,9369183.224885559,88.25207128738492,17110894.531950373,2.042433188875244e+17,1.6618562926121964e+25,54.66056369704597,1.0192206676956694,0.4,0.4,Convective
2.4385331946420373e+23,9424954.144658452,88.25207105524014,17110894.501912035,2.0424331799114675e+17,1.6916951494834044e+25,54.66056263027207,1.0192206697891175,0.4,0.4,Convective
2.494372593426318e+23,9481354.107426964,88.25207081802404,17110894.4712175,2.0424331707518736e+17,1.7222172787293053e+25,54.66056154019408,1.019220671928298,0.4,0.4,Convective
2.551490645486035e+23,9538381.802973246,88.2520705756519,17110894.439855807,2.042433161393192e+17,1.7534383264163752e+25,54.66056042642289,1.0192206741139735,0.4,0.4,Convective
2.6099166304021508e+23,9596035.928332021,88.25207032803924,17110894.407816008,2.042433151832157e+17,1.7853742968855022e+25,54.66055928856977,1.0192206763469098,0.4,0.4,Convective
2.6696804982219384e+23,9654315.220699202,88.25207007510167,17110894.375087194,2.042433142065512e+17,1.8180415609560157e+25,54.66055812624707,1.0192206786278644,0.4,0.4,Convective
2.730812884811681e+23,9713218.492632948,88.25206981675505,17110894.341658484,2.0424331320900093e+17,1.8514568643174586e+25,54.66055693906844,1.0192206809575954,0.4,0.4,Convective
2.7933451275612554e+23,9772744.669468513,88.2520695529157,17110894.307519037,2.0424331219024154e+17,1.8856373361136958e+25,54.66055572664919,1.0192206833368616,0.4,0.4,Convective
2.8573092814480004e+23,9832892.82882557,88.2520692835002,17110894.27265807,2.0424331114995114e+17,1.9206004977234075e+25,54.66055448860599,1.0192206857664101,0.4,0.4,Convective
2.9227381354686502e+23,9893662.242039263,88.25206900842564,17110894.237064842,2.0424331008780938e+17,1.9563642717417643e+25,54.66055322455723,1.0192206882469939,0.4,0.4,Convective
2.9896652294475435e+23,9955052.417289063,88.25206872760948,17110894.200728685,2.042433090034977e+17,1.9929469911677716e+25,54.660551934124584,1.0192206907793537,0.4,0.4,Convective
3.058124871229481e+23,10017063.144134132,88.25206844096968,17110894.16363898,2.042433078966993e+17,2.0303674088018634e+25,54.66055061693042,1.019220693364229,0.4,0.4,Convective
3.128152154266642e+23,10079694.539089186,88.25206814842466,17110894.125785165,2.0424330676709904e+17,2.0686447068588835e+25,54.66054927260005,1.0192206960023587,0.4,0.4,Convective
3.199782975607846e+23,10142947.091786949,88.25206784989315,17110894.08715674,2.0424330561438346e+17,2.10779850680099e+25,54.66054790076058,1.0192206986944718,0.4,0.4,Convective
3.273054054300003e+23,10206821.711175036,88.25206754529441,17110894.047743235,2.0424330443824035e+17,2.1478488793958553e+25,54.6605465010398,1.0192207014412993,0.4,0.4,Convective
3.348002950210929e+23,10271319.771080604,88.25206723454775,17110894.007534232,2.0424330323835856e+17,2.18881635500519e+25,54.66054507306805,1.0192207042435677,0.4,0.4,Convective
3.4246680832829515e+23,10336443.154346358,88.25206691757282,17110893.96651931,2.0424330201442742e+17,2.2307219341087267e+25,54.660543616475294,1.019220707102002,0.4,0.4,Convective
3.5030887532276294e+23,10402194.294594495,88.25206659428899,17110893.92468806,2.0424330076613594e+17,2.273587098069319e+25,54.66054213089146,1.0192207100173283,0.4,0.4,Convective
3.583305159671471e+23,10468576.214506753,88.2520662646155,17110893.882030018,2.0424329949317213e+17,2.3174338201445546e+25,54.660540615945266,1.019220712990276,0.4,0.4,Convective
3.665358422762673e+23,10535592.559318494,88.25206592847091,17110893.83853465,2.0424329819522163e+17,2.362284576750361e+25,54.66053907126272,1.0192207160215805,0.4,0.4,Convective
3.749290604250164e+23,10603247.624010237,88.25206558577295,17110893.794191305,2.042432968719666e+17,2.4081623589827683e+25,54.66053749646541,1.0192207191119806,0.4,0.4,Convective
3.83514472904489e+23,10671546.37243546,88.25206523643783,17110893.74898915,2.0424329552308362e+17,2.4550906844032693e+25,54.66053589116869,1.0192207222622338,0.4,0.4,Convective
3.9229648072751255e+23,10740494.446350083,88.25206488037992,17110893.7029171,2.0424329414824202e+17,2.503093609094208e+25,54.66053425497866,1.019220725473114,0.4,0.4,Convective
4.0127958568468295e+23,10810098.161998773,88.252064517511,17110893.655963738,2.0424329274710112e+17,2.5521957399902277e+25,54.660532587490096,1.019220728745414,0.4,0.4,Convective
4.104683926520283e+23,10880364.49156479,88.2520641477395,17110893.60811722,2.0424329131930746e+17,2.6024222474919185e+25,54.660530888282274,1.0192207320799593,0.4,0.4,Convective
4.1986761195156455e+23,10951301.026399305,88.25206377096967,17110893.559365153,2.0424328986449117e+17,2.6537988783685694e+25,54.66052915691505,1.0192207354776155,0.4,0.4,Convective
4.294820617658549e+23,11022915.918504912,88.2520633871004,17110893.509694457,2.04243288382262e+17,2.7063519689561066e+25,54.6605273929241,1.0192207389392944,0.4,0.4,Convective
4.393166706078929e+23,11095217.796256047,88.25206299602415,17110893.459091216,2.0424328687220464e+17,2.760108458657434e+25,54.66052559581507,1.019220742465963,0.4,0.4,Convective
